Semantic_Tags,ID,FirstName,LastName,Title,Gen,Snumber,Eaddress,Tnumber,Mnumber,Salary,Address1_Line1,Address1_City,Address1_StateOrProvince,Address1_PostalCode,Make,Latitude,Longitutde,CREATED_DATE,IS_CREATED
Gender,102.0,17.0,29.0,45.0,1006.0,0.0,1.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
SSN,0.0,0.0,0.0,1.0,0.0,16.0,0.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhoneNumber,0.0,0.0,0.0,4.0,0.0,501.0,0.0,1009.0,1019.0,2.0,7.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
Email,8.0,0.0,1.0,80.0,0.0,0.0,995.0,0.0,0.0,201.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
FirstName,445.0,889.0,922.0,341.0,13.0,0.0,1.0,0.0,0.0,0.0,18.0,941.0,11.0,8.0,845.0,0.0,0.0,0.0,1017.0
RoleTitle,15.0,84.0,26.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0
NameTitle,202.0,4.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZipCode,20.0,1.0,5.0,0.0,0.0,483.0,0.0,4.0,0.0,19.0,0.0,0.0,0.0,805.0,0.0,0.0,0.0,0.0,0.0
Latitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Longitude,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,38.0,25.0,3.0,0.0,0.0,0.0,26.0,1019.0,0.0,0.0
State,51.0,14.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,34.0,1008.0,0.0,56.0,0.0,0.0,0.0,0.0
StreetAddress,0.0,4.0,4.0,244.0,0.0,1.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
StreetName,40.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Date,83.0,1.0,5.0,6.0,0.0,1.0,13.0,2.0,0.0,481.0,61.0,0.0,0.0,116.0,0.0,984.0,0.0,1017.0,0.0
DateTime,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CARDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANGUAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRODUCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUANTITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORK_OF_ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
