Semantic_Tags,ID,FirstName,LastName,Title,Gen,Snumber,Eaddress,Tnumber,Mnumber,Salary,Address1_Line1,Address1_City,Address1_StateOrProvince,Address1_PostalCode,Make,Latitude,Longitutde,CREATED_DATE,IS_CREATED
ID,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gender,0.0,0.0,0.0,3.0,98.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSN,0.0,0.0,0.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhoneNumber,0.0,0.0,0.0,0.0,0.0,2.0,0.0,98.0,100.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Email,0.0,0.0,0.0,8.0,0.0,0.0,97.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Name,0.0,70.0,68.0,6.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0
RoleTitle,0.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZipCode,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,36.0,5.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Latitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Longitude,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
State,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,3.0,99.0,0.0,4.0,0.0,0.0,0.0,0.0
StreetAddress,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Date,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,4.0,81.0,0.0,0.0,0.0
DateTime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
City,0.0,26.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,92.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Manufacturer,0.0,2.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
